股票代码,评分日期,盈利质量覆盖率,成长质量覆盖率,财务健康覆盖率,估值合理性覆盖率,治理与事件风险覆盖率,盈利质量评分,成长质量评分,财务健康评分,估值合理性评分,治理与事件风险评分,总分,置信度,评分状态,硬风险,准入结论
601456,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.8378,8.6884,3.3437,6.1438,0,64.597,0.1965,数据不足,,数据不足
300866,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.1772,8.4359,6.1257,3.4125,0,59.9907,0.3169,数据不足,,数据不足
002625,2026-07-28,1.0,0.65,0.75,0.5,0.0,3.558,7.4781,4.5453,2.0062,0,46.0769,0.2889,数据不足,,数据不足
601018,2026-07-28,1.0,0.65,1.0,0.5,0.0,2.4514,6.0268,7.3583,7.9562,0,54.5247,0.3134,数据不足,,数据不足
002384,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.147,8.7842,4.5146,1.3438,0,57.1625,0.31,数据不足,,数据不足
001391,2026-07-28,1.0,0.35,0.75,0.5,0.0,4.5114,8.6573,6.6564,5.4875,0,63.0237,0.2603,数据不足,,数据不足
002600,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.1052,4.8045,4.6009,3.0875,0,42.3999,0.3169,数据不足,,数据不足
301236,2026-07-28,0.7,0.3,1.0,0.5,0.0,1.5905,8.6154,4.7941,2.5188,0,44.0846,0.2274,数据不足,,数据不足
302132,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.9594,9.6583,4.2126,2.6375,0,67.1172,0.3134,数据不足,,数据不足
601825,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.1803,3.6145,1.6562,8.9688,0,49.27,0.1854,数据不足,,数据不足
601077,2026-07-28,0.6,0.65,0.25,0.5,0.0,4.6891,4.0257,1.5312,9.1625,0,45.4866,0.1987,数据不足,,数据不足
688047,2026-07-28,0.7,0.3,0.75,0.5,0.0,1.4302,4.8077,6.1756,6.4562,0,42.6059,0.2167,数据不足,,数据不足
601058,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.6966,8.3704,4.9597,6.7125,0,64.4487,0.31,数据不足,,数据不足
600160,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.5923,7.94,6.5751,3.825,0,65.0162,0.3134,数据不足,,数据不足
600482,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.1971,8.4795,4.7712,4.6312,0,55.8658,0.3169,数据不足,,数据不足
601136,2026-07-28,0.6,0.65,0.25,0.5,0.0,2.8171,5.2439,3.5625,3.9688,0,38.4878,0.1987,数据不足,,数据不足
002028,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.8064,8.5202,6.1098,2.775,0,57.8908,0.2995,数据不足,,数据不足
002463,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.039,9.4595,5.1589,2.25,0,64.9539,0.2925,数据不足,,数据不足
600066,2026-07-28,1.0,0.65,0.75,0.5,0.0,7.3585,8.8024,6.3107,5.625,0,72.3783,0.2889,数据不足,,数据不足
000630,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.2853,5.326,6.4466,4.425,0,57.4461,0.3134,数据不足,,数据不足
688506,2026-07-28,0.7,0.3,1.0,0.5,0.0,1.2858,1.8182,3.4353,6.4,0,27.6371,0.2354,数据不足,,数据不足
000975,2026-07-28,1.0,0.65,1.0,0.5,0.0,8.1252,9.2796,7.996,5.2062,0,79.3068,0.2891,数据不足,,数据不足
300502,2026-07-28,1.0,0.65,0.75,0.5,0.0,7.5121,9.8928,5.9149,1.9,0,68.831,0.276,数据不足,,数据不足
002422,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.863,1.6662,7.0155,3.475,0,38.8869,0.3134,数据不足,,数据不足
300394,2026-07-28,1.0,0.65,0.75,0.5,0.0,7.3339,9.522,7.3367,1.5125,0,69.7212,0.2662,数据不足,,数据不足
300418,2026-07-28,0.7,0.3,0.75,0.5,0.0,1.3473,8.7727,6.5217,7.2938,0,55.5086,0.2167,数据不足,,数据不足
600026,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.5196,7.0857,5.8422,6.3812,0,65.0324,0.31,数据不足,,数据不足
000807,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.7967,8.5764,8.3561,6.8875,0,79.8606,0.296,数据不足,,数据不足
001965,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.7809,5.9524,5.5032,7.1688,0,53.3145,0.2995,数据不足,,数据不足
300442,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.9947,7.9815,4.3554,4.1062,0,58.6756,0.2473,数据不足,,数据不足
688009,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.941,2.3285,5.3801,7.0875,0,46.7066,0.3169,数据不足,,数据不足
600027,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.3659,5.237,5.034,8.15,0,57.2036,0.3134,数据不足,,数据不足
688082,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.3437,6.2318,4.502,1.6688,0,54.5752,0.31,数据不足,,数据不足
600415,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.5946,5.6812,6.2901,5.9438,0,58.3138,0.2925,数据不足,,数据不足
300832,2026-07-28,1.0,0.65,0.75,0.5,0.0,6.5477,5.6938,6.5237,4.2937,0,59.2951,0.2889,数据不足,,数据不足
603296,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.3712,8.513,5.5516,3.4937,0,59.7111,0.3169,数据不足,,数据不足
688256,2026-07-28,1.0,0.3,0.75,0.5,0.0,7.5046,10.0,7.519,1.0562,0,71.2623,0.2578,数据不足,,数据不足
688271,2026-07-28,1.0,0.65,0.75,0.5,0.0,2.8375,5.8251,5.1119,2.95,0,41.9154,0.2922,数据不足,,数据不足
688041,2026-07-28,1.0,0.65,1.0,0.5,0.0,4.5734,9.0636,5.5642,1.1125,0,54.6403,0.2403,数据不足,,数据不足
601916,2026-07-28,0.6,0.65,0.25,0.5,0.0,4.7608,4.4836,1.0312,9.2062,0,45.9592,0.2009,数据不足,,数据不足
600515,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.2959,3.9761,3.3035,3.8125,0,49.0597,0.31,数据不足,,数据不足
600938,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.8571,5.1348,6.9385,7.175,0,64.4978,0.3134,数据不足,,数据不足
601059,2026-07-28,0.6,0.65,0.25,0.5,0.0,6.1201,5.7334,3.5,4.7938,0,52.0937,0.2009,数据不足,,数据不足
600372,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.9044,2.3747,4.4813,4.5688,0,47.1842,0.31,数据不足,,数据不足
